,,,,,,,,,
,Division,Seats,Voters,Party,Candidate(s),Votes,%,Swing,Margins
,,,, Workers' Party,"John Yam
Angela Faye Oon
Sajeev K. R. Kamalasanan
Watson Chong
Poh Lee Guan","57,523",41.60 / 100,N/A,
,Pasir Ris–Punggol GRC,6,"168,971", People's Action Party,"Teo Chee Hean
Teo Ser Luck
Penny Low
Janil Puthucheary
Gan Thiam Poh
Zainal Bin Sapari","100,493",64.79 / 100,3.91,29.58%
,,,, Singapore Democratic Alliance,"Harminder Pal Singh
Sidney Soon
Jeffrey Lim
Lee Song Juan
Tan Keng Hong
Mohammad Shafni Ahmad","54,601",35.21 / 100,3.91,
,Sembawang GRC,5,"142,459", People's Action Party,"Khaw Boon Wan
Ellen Lee
Hawazi Daipi
Ong Teng Koon
Vikram Nair","84,252",63.9 / 100,12.8,27.80%
,,,, Singapore Democratic Party,"James Gomez
John Tan
Jarrod Luo
Mohd Isa Abdul Aziz
Sadasivam Veriyah","47,605",36.1 / 100,12.8,
,Tampines GRC,5,"137,532", People's Action Party,"Mah Bow Tan
Ng Phek Hoong Irene
Masagos Zulkifli Bin Masagos Mohamad
Baey Yam Keng
Heng Swee Keat","72,728",57.22 / 100,11.29,14.44%
,,,, National Solidarity Party,"Goh Meng Seng
Reno Fong
Syafarin Sarif
Raymond Lim
Gilbert Goh","54,381",42.78 / 100,N/A,
,Tanjong Pagar GRC,5,"139,771", People's Action Party,"Lee Kuan Yew
Lily Neo
Indranee Thurai Rajah
Chan Chun Sing
Chia Shi-Lu",Uncontested,,,
,West Coast GRC,5,"121,045", People's Action Party,"Lim Hng Kiang
Fong Jen Arthur
S Iswaran
Foo Mee Har
Lawrence Wong","72,563",66.57 / 100,N/A,33.14%
,,,, Reform Party,"Kenneth Jeyaretnam
Frankie Low
Andy Zhu
Kumar Appavoo
Haren Hu","36,443",33.43 / 100,N/A,
,Bukit Panjang SMC,1,"33,053", People's Action Party,Teo Ho Pin,"20,375",66.27 / 100,10.91,32.54%
,,,, Singapore Democratic Party,Alec Tok,"10,372",33.73 / 100,10.91,
,Hong Kah North SMC,1,"27,701", People's Action Party,Amy Khor,"18,156",70.61 / 100,N/A,41.22%
,,,, Singapore People's Party,Sin Kek Tong,"7,556",29.39 / 100,N/A,
,Hougang SMC,1,"24,560", Workers' Party,Yaw Shin Leong,"14,850",64.8 / 100,2.06,29.60%
,,,, People's Action Party,Desmond Choo,8065,35.2 / 100,2.06,
,Joo Chiat SMC,1,"22,069", People's Action Party,Charles Chong,"9,666",51.02 / 100,13.99,2.04%
,,,, Workers' Party,Yee Jenn Jong,"9,278",48.98 / 100,13.99,
,Mountbatten SMC,1,"23,731", People's Action Party,Lim Biow Chuan,"11,985",58.62 / 100,N/A,17.24%
,,,, National Solidarity Party,Jeannette Chong-Aruldoss,"8,461",41.38 / 100,N/A,
,Pioneer SMC,1,"25,745", People's Action Party,Cedric Foo,"14,593",60.73 / 100,N/A,21.46%
,,,, National Solidarity Party,Steve Chia,"9,437",39.27 / 100,N/A,
,Potong Pasir SMC,1,"17,327", People's Action Party,Sitoh Yih Pin,"7,992",50.36 / 100,6.18,0.72%
,,,, Singapore People's Party,Lina Chiam,"7,878",49.64 / 100,6.18,
,Punggol East SMC,1,"33,281", People's Action Party,Michael Palmer,"16,994",54.54 / 100,N/A,13.53%
,,,, Workers' Party,Lee Li Lian,"12,777",41.01 / 100,N/A,
,,,,Singapore Democratic Alliance,Desmond Lim,"1,387",4.45 / 100,N/A,
,Radin Mas SMC,1,"31,014", People's Action Party,Sam Tan,"18,609",67.10 / 100,N/A,34.20%
,,,, National Solidarity Party,Yip Yew Weng,"9,123",32.90 / 100,N/A,
,Sengkang West SMC,1,"26,882", People's Action Party,Lam Pin Min,"14,689",58.11 / 100,N/A,16.22%
,,,, Workers' Party,Koh Choong Yong,"10,591",41.89 / 100,N/A,
,Whampoa SMC,1,"21,622", People's Action Party,Heng Chee How,"13,028",66.10 / 100,N/A,32.20%
,,,, National Solidarity Party,Ken Sun,"6,680",33.90 / 100,N/A,
,Yuhua SMC,1,"23,195", People's Action Party,Grace Fu,"14,093",66.86 / 100,N/A,33.72%
,,,, Singapore Democratic Party,Teo Soh Lung,"6,986",33.14 / 100,N/A,
